name,hp,attack,defense,special_attack,special_defense,speed
bulbasaur,45,49,49,65,65,45
caterpie,45,30,35,20,20,45
voltorb,40,30,50,55,55,100
electrode,60,50,70,80,80,150
exeggcute,60,40,80,60,45,40
exeggutor,95,95,85,125,75,55
cubone,50,50,95,40,50,35
marowak,60,80,110,50,80,45
hitmonlee,50,120,53,35,110,87
hitmonchan,50,105,79,35,110,76
lickitung,90,55,75,60,75,30
koffing,40,65,95,60,45,35
metapod,50,20,55,25,25,30
weezing,65,90,120,85,70,60
rhyhorn,80,85,95,30,30,25
rhydon,105,130,120,45,45,40
chansey,250,5,5,35,105,50
tangela,65,55,115,100,40,60
kangaskhan,105,95,80,40,80,90
horsea,30,40,70,70,25,60
seadra,55,65,95,95,45,85
goldeen,45,67,60,35,50,63
seaking,80,92,65,65,80,68
butterfree,60,45,50,90,80,70
staryu,30,45,55,70,55,85
starmie,60,75,85,100,85,115
mr-mime,40,45,65,100,120,90
scyther,70,110,80,55,80,105
jynx,65,50,35,115,95,95
electabuzz,65,83,57,95,85,105
magmar,65,95,57,100,85,93
pinsir,65,125,100,55,70,85
tauros,75,100,95,40,70,110
magikarp,20,10,55,15,20,80
weedle,40,35,30,20,20,50
gyarados,95,125,79,60,100,81
lapras,130,85,80,85,95,60
ditto,48,48,48,48,48,48
eevee,55,55,50,45,65,55
vaporeon,130,65,60,110,95,65
jolteon,65,65,60,110,95,130
flareon,65,130,60,95,110,65
porygon,65,60,70,85,75,40
omanyte,35,40,100,90,55,35
omastar,70,60,125,115,70,55
kakuna,45,25,50,25,25,35
kabuto,30,80,90,55,45,55
kabutops,60,115,105,65,70,80
aerodactyl,80,105,65,60,75,130
snorlax,160,110,65,65,110,30
articuno,90,85,100,95,125,85
zapdos,90,90,85,125,90,100
moltres,90,100,90,125,85,90
dratini,41,64,45,50,50,50
dragonair,61,84,65,70,70,70
dragonite,91,134,95,100,100,80
beedrill,65,90,40,45,80,75
mewtwo,106,110,90,154,90,130
mew,100,100,100,100,100,100
pidgey,40,45,40,35,35,56
pidgeotto,63,60,55,50,50,71
pidgeot,83,80,75,70,70,101
rattata,30,56,35,25,35,72
ivysaur,60,62,63,80,80,60
raticate,55,81,60,50,70,97
spearow,40,60,30,31,31,70
fearow,65,90,65,61,61,100
ekans,35,60,44,40,54,55
arbok,60,95,69,65,79,80
pikachu,35,55,40,50,50,90
raichu,60,90,55,90,80,110
sandshrew,50,75,85,20,30,40
sandslash,75,100,110,45,55,65
nidoran-f,55,47,52,40,40,41
venusaur,80,82,83,100,100,80
nidorina,70,62,67,55,55,56
nidoqueen,90,92,87,75,85,76
nidoran-m,46,57,40,40,40,50
nidorino,61,72,57,55,55,65
nidoking,81,102,77,85,75,85
clefairy,70,45,48,60,65,35
clefable,95,70,73,95,90,60
vulpix,38,41,40,50,65,65
ninetales,73,76,75,81,100,100
jigglypuff,115,45,20,45,25,20
charmander,39,52,43,60,50,65
wigglytuff,140,70,45,85,50,45
zubat,40,45,35,30,40,55
golbat,75,80,70,65,75,90
oddish,45,50,55,75,65,30
gloom,60,65,70,85,75,40
vileplume,75,80,85,110,90,50
paras,35,70,55,45,55,25
parasect,60,95,80,60,80,30
venonat,60,55,50,40,55,45
venomoth,70,65,60,90,75,90
charmeleon,58,64,58,80,65,80
diglett,10,55,25,35,45,95
dugtrio,35,100,50,50,70,120
meowth,40,45,35,40,40,90
persian,65,70,60,65,65,115
psyduck,50,52,48,65,50,55
golduck,80,82,78,95,80,85
mankey,40,80,35,35,45,70
primeape,65,105,60,60,70,95
growlithe,55,70,45,70,50,60
arcanine,90,110,80,100,80,95
charizard,78,84,78,109,85,100
poliwag,40,50,40,40,40,90
poliwhirl,65,65,65,50,50,90
poliwrath,90,95,95,70,90,70
abra,25,20,15,105,55,90
kadabra,40,35,30,120,70,105
alakazam,55,50,45,135,95,120
machop,70,80,50,35,35,35
machoke,80,100,70,50,60,45
machamp,90,130,80,65,85,55
bellsprout,50,75,35,70,30,40
squirtle,44,48,65,50,64,43
weepinbell,65,90,50,85,45,55
victreebel,80,105,65,100,70,70
tentacool,40,40,35,50,100,70
tentacruel,80,70,65,80,120,100
geodude,40,80,100,30,30,20
graveler,55,95,115,45,45,35
golem,80,120,130,55,65,45
ponyta,50,85,55,65,65,90
rapidash,65,100,70,80,80,105
slowpoke,90,65,65,40,40,15
wartortle,59,63,80,65,80,58
slowbro,95,75,110,100,80,30
magnemite,25,35,70,95,55,45
magneton,50,60,95,120,70,70
farfetchd,52,90,55,58,62,60
doduo,35,85,45,35,35,75
dodrio,60,110,70,60,60,110
seel,65,45,55,45,70,45
dewgong,90,70,80,70,95,70
grimer,80,80,50,40,50,25
muk,105,105,75,65,100,50
blastoise,79,83,100,85,105,78
shellder,30,65,100,45,25,40
cloyster,50,95,180,85,45,70
gastly,30,35,30,100,35,80
haunter,45,50,45,115,55,95
gengar,60,65,60,130,75,110
onix,35,45,160,30,45,70
drowzee,60,48,45,43,90,42
hypno,85,73,70,73,115,67
krabby,30,105,90,25,25,50
kingler,55,130,115,50,50,75
